Equipo,Rating
Spain,1807.7093396320547
France,1775.7511355137947
Argentina,1753.136721221587
England,1749.580138765198
Netherlands,1707.5120125875799
Japan,1704.2997878653075
Portugal,1692.4156524654225
Germany,1679.9395082523536
Morocco,1678.3197610751872
Croatia,1670.3072968257186
Brazil,1662.9451749718146
South Korea,1662.8097328381186
Iran,1659.2679472184398
Belgium,1658.8038749084612
Italy,1656.5054294546503
Turkey,1654.0805333479832
Australia,1653.3907231433834
Norway,1646.1538127125389
Switzerland,1640.9918481293867
Tunisia,1639.7126304899673
Senegal,1637.122485725149
Algeria,1630.502326125302
Colombia,1621.152865781777
Ivory Coast,1620.4688146567366
Uzbekistan,1613.9237721592624
Denmark,1612.4894564661709
Austria,1611.0026375088466
Iraq,1610.794969688089
Russia,1605.694880190242
Uruguay,1602.6142737570349
Ecuador,1599.627408849337
Egypt,1585.9696620107604
Cape Verde,1584.9805789241632
Saudi Arabia,1583.0826415127892
DR Congo,1582.9918043238931
Burkina Faso,1582.1075851905257
Ukraine,1580.595438716372
Ghana,1578.0553948665897
Scotland,1577.7734974897267
New Zealand,1577.633162874083
Cameroon,1574.8802729087267
Curaçao,1573.6203318088058
Panama,1573.3212714511587
Mexico,1570.9969036253797
United Arab Emirates,1570.8006461642278
Greece,1566.4715934063756
Mali,1565.3294983998276
Jordan,1563.239795515346
Wales,1559.7366921798791
South Africa,1558.6765914220612
Serbia,1558.2847156284668
Hungary,1557.0034135507992
Poland,1555.9205928920094
Costa Rica,1553.3822975896658
Czech Republic,1553.2244521799978
United States,1553.065228787986
Nigeria,1552.3359504276245
Sweden,1551.322636387216
Gabon,1549.908610848809
Slovenia,1547.219692361648
Oman,1542.631258534743
Haiti,1542.5666333484462
Suriname,1541.8447497729799
Canada,1541.2912662978897
Guatemala,1541.0345508809482
Kosovo,1540.934816940264
Qatar,1540.3660238700404
Malaysia,1540.343243712186
Slovakia,1533.3137297270625
Romania,1528.450181969918
Libya,1524.3413084665854
Benin,1521.2350896892067
Uganda,1521.0443284278585
Paraguay,1517.6368062884117
North Macedonia,1517.5546457409748
Republic of Ireland,1517.0958303887878
Trinidad and Tobago,1514.852408771294
Solomon Islands,1513.1925337488178
Puerto Rico,1511.5890459599298
Albania,1510.5699817408743
Madagascar,1508.6797527897588
Yorkshire,1507.3927216800723
Jamaica,1504.5065998143975
Basque Country,1503.863959739223
Angola,1503.4411896760569
Martinique,1502.6986359419411
Parishes of Jersey,1502.5359744773523
Catalonia,1502.5157015489663
Ellan Vannin,1502.5
Franconia,1502.5
Ynys Môn,1502.5
Surrey,1502.499871492748
Elba Island,1502.4820113644219
Kernow,1502.4818837885064
Cascadia,1502.4641540033851
Saint Barthélemy,1502.324716101608
Mozambique,1502.2520010568617
Niger,1502.151143720499
Thailand,1500.8632360364113
Sierra Leone,1500.8316999999772
Luhansk PR,1500.0359754085453
Tajikistan,1500.0065714571283
French Guiana,1500.000128507252
Gozo,1500.0
Northern Cyprus,1500.0
Menorca,1500.0
