Equipo,Rating,Team,Elo Pen,Diff
Spain,1807.7093396320547,Spain,1510.5693368647508,297.14000276730394
France,1775.7511355137947,France,1480.2495792012699,295.5015563125248
Argentina,1753.136721221587,Argentina,1541.4798942075888,211.65682701399828
England,1749.580138765198,England,1489.4071554415634,260.1729833236345
Netherlands,1707.5120125875799,Netherlands,1457.0617238588577,250.45028872872217
Japan,1704.2997878653075,Japan,1463.3061872832284,240.99360058207913
Portugal,1692.4156524654225,Portugal,1536.20313655563,156.2125159097925
Germany,1679.9395082523536,Germany,1540.8835025969959,139.0560056553577
Morocco,1678.3197610751872,Morocco,1491.681425368483,186.6383357067043
Croatia,1670.3072968257186,Croatia,1526.2792389220742,144.02805790364437
Brazil,1662.9451749718146,Brazil,1515.6205775191402,147.32459745267442
South Korea,1662.8097328381186,South Korea,1546.225330076957,116.58440276116153
Iran,1659.2679472184398,Iran,1464.8541026112623,194.41384460717745
Belgium,1658.8038749084612,1500,1500.0,158.80387490846124
Italy,1656.5054294546503,Italy,1526.5154415134207,129.98998794122963
Turkey,1654.0805333479832,Turkey,1521.7226596808885,132.35787366709474
Australia,1653.3907231433834,Australia,1531.3228360977646,122.06788704561882
Norway,1646.1538127125389,1500,1500.0,146.15381271253887
Switzerland,1640.9918481293867,Switzerland,1418.6363020790113,222.35554605037532
Tunisia,1639.7126304899673,Tunisia,1495.8648854791322,143.84774501083507
Senegal,1637.122485725149,Senegal,1557.1115199990018,80.01096572614733
Algeria,1630.502326125302,Algeria,1546.4947708563604,84.00755526894159
Colombia,1621.152865781777,Colombia,1466.8291410814304,154.3237247003467
Ivory Coast,1620.4688146567366,Ivory Coast,1497.325195453617,123.14361920311967
Uzbekistan,1613.9237721592624,Uzbekistan,1489.8146320732487,124.10914008601367
Denmark,1612.4894564661709,Denmark,1437.998248554242,174.49120791192877
Austria,1611.0026375088466,Austria,1461.1443315001125,149.8583060087342
Iraq,1610.794969688089,Iraq,1572.0452592043061,38.74971048378279
Russia,1605.694880190242,Russia,1465.3704677953383,140.32441239490367
