Team,Elo Pen
Qatar,1580.5407328024037
Padania,1573.7429250137427
Iraq,1572.0452592043061
Zambia,1561.7904844569655
Oman,1558.755287626833
Ethiopia,1557.7714308805519
Kazakhstan,1557.263926058885
Senegal,1557.1115199990018
Seychelles,1556.8911742439238
Panama,1548.1447772868712
Algeria,1546.4947708563604
South Korea,1546.225330076957
Botswana,1544.6949254327874
Jersey,1544.3329300258565
Honduras,1544.2762395405098
Chile,1543.8767770120053
United Arab Emirates,1542.0225502307067
Iceland,1541.9082313488932
Argentina,1541.4798942075888
Germany,1540.8835025969959
Kárpátalja,1539.9859492027667
Tahiti,1539.9397236450086
Greenland,1539.934031061379
Cyprus,1538.8499774443092
South Ossetia,1538.8499774443092
Réunion,1538.508162793012
Gozo,1538.3765037690434
Tajikistan,1537.7436224154092
Scotland,1537.6690301176834
Czech Republic,1537.6386841759438
Bahrain,1537.2261815274449
Åland Islands,1537.1414753036647
Ukraine,1537.1038564431071
Portugal,1536.20313655563
Slovakia,1536.1060715900005
Vietnam,1536.0533149810706
Benin,1535.971291352897
Mexico,1535.1097566043413
Latvia,1534.7608905861457
Bosnia and Herzegovina,1534.6659038374962
Saint Kitts and Nevis,1534.416738426302
India,1531.3806849087273
Australia,1531.3228360977646
North Korea,1531.2964659696622
Mozambique,1530.9061451577209
Italy,1526.5154415134207
Croatia,1526.2792389220742
Egypt,1524.8706454590238
Northern Ireland,1522.8585246963353
Puerto Rico,1522.8585246963353
Sri Lanka,1522.6945050835566
Anguilla,1521.7226596808885
Turkey,1521.7226596808885
Tanzania,1521.4293677151663
Antigua and Barbuda,1521.1500225556908
Palestine,1521.1500225556908
Cameroon,1520.1058434583545
New Caledonia,1520.0824479730545
Raetia,1520.0
Togo,1520.0
Barbados,1520.0
Gambia,1520.0
Kabylia,1520.0
United States,1519.5542086251075
Poland,1519.395840202552
Martinique,1518.9825108292137
Bangladesh,1518.8499774443092
Azerbaijan,1518.8499774443092
Guyana,1518.2773403191115
Western Armenia,1518.01550893915
British Virgin Islands,1517.1930457472656
DR Congo,1516.0235607929553
Angola,1515.7812018899483
Brazil,1515.6205775191402
Guatemala,1515.6078198960113
Mayotte,1514.5558573615695
Spain,1510.5693368647508
Mali,1508.3919297625728
Peru,1507.9274596944751
Burkina Faso,1503.694912222412
Rwanda,1503.6276120737045
Paraguay,1503.206245048779
Guadeloupe,1502.8362633642907
United Koreans in Japan,1502.296319983723
