team,rating,Dieciseisavos (R32) %,Octavos (R16) %,Cuartos (QF) %,Semifinal (SF) %,Final (F) %,Campeón %
Spain,2165,115.7,98.0,92.60000000000001,76.9,61.199999999999996,43.9
Argentina,2113,114.8,92.4,77.8,63.0,48.199999999999996,25.3
France,2081,134.0,111.7,96.5,62.2,27.900000000000002,13.200000000000001
England,2020,121.0,82.19999999999999,58.8,37.8,16.8,5.7
Brazil,1984,114.19999999999999,55.400000000000006,36.199999999999996,21.9,7.6,2.8000000000000003
Portugal,1984,106.2,49.0,22.8,15.4,8.0,2.4
Colombia,1975,108.3,45.6,23.799999999999997,14.799999999999999,5.800000000000001,1.4000000000000001
Netherlands,1961,115.6,64.60000000000001,37.1,20.9,4.7,1.3
Ecuador,1933,109.4,35.9,22.5,12.5,2.5,0.8999999999999999
Turkey,1902,98.2,40.2,11.5,6.800000000000001,2.1,0.6
Belgium,1867,101.29999999999998,28.000000000000004,6.800000000000001,4.0,1.2,0.5
Senegal,1878,92.60000000000001,26.8,10.7,6.1,1.5,0.4
Germany,1923,106.5,28.499999999999996,16.2,9.2,2.1999999999999997,0.4
Switzerland,1889,105.0,32.800000000000004,11.600000000000001,6.3,1.0,0.3
Croatia,1930,104.80000000000001,26.6,15.1,8.799999999999999,2.5,0.3
Japan,1904,103.60000000000001,34.5,15.1,8.3,1.5,0.2
Austria,1827,79.9,4.3999999999999995,1.0,0.6,0.2,0.1
South Korea,1752,91.9,5.2,1.0,0.6,0.2,0.1
Norway,1912,97.5,32.2,13.4,7.6,1.7999999999999998,0.1
Uruguay,1892,101.29999999999998,13.8,6.5,3.8,1.0999999999999999,0.1
Iraq,1608,2.1999999999999997,0.0,0.0,0.0,0.0,0.0
Saudi Arabia,1568,20.0,0.2,0.0,0.0,0.0,0.0
Cape Verde,1549,15.8,0.0,0.0,0.0,0.0,0.0
New Zealand,1585,21.099999999999998,0.0,0.0,0.0,0.0,0.0
Tunisia,1636,17.299999999999997,0.4,0.0,0.0,0.0,0.0
Sweden,1719,49.5,2.0,0.6,0.3,0.0,0.0
Curaçao,1436,1.3,0.0,0.0,0.0,0.0,0.0
Australia,1783,63.800000000000004,3.6999999999999997,0.5,0.3,0.1,0.0
Haiti,1532,2.8000000000000003,0.0,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,1591,60.8,0.6,0.2,0.1,0.0,0.0
Canada,1784,99.0,13.4,2.1999999999999997,1.3,0.4,0.0
South Africa,1517,3.8,0.0,0.0,0.0,0.0,0.0
Ghana,1503,1.9,0.0,0.0,0.0,0.0,0.0
DR Congo,1655,16.5,0.3,0.0,0.0,0.0,0.0
Jordan,1690,26.3,0.8,0.2,0.1,0.0,0.0
Algeria,1743,48.9,1.9,0.0,0.0,0.0,0.0
Egypt,1699,69.5,1.5,0.1,0.1,0.1,0.0
Ivory Coast,1676,64.9,0.8999999999999999,0.0,0.0,0.0,0.0
Panama,1737,71.89999999999999,1.6,0.0,0.0,0.0,0.0
United States,1721,36.199999999999996,0.5,0.0,0.0,0.0,0.0
Morocco,1822,93.5,12.6,3.9,2.0,0.1,0.0
Uzbekistan,1727,40.6,1.6,0.6,0.3,0.0,0.0
Czech Republic,1726,85.3,4.1000000000000005,1.0,0.5,0.0,0.0
Scotland,1767,83.89999999999999,6.9,1.7000000000000002,0.8999999999999999,0.1,0.0
Iran,1764,88.2,4.6,0.8999999999999999,0.5,0.1,0.0
Qatar,1423,7.000000000000001,0.1,0.0,0.0,0.0,0.0
Mexico,1860,102.3,20.0,7.7,4.2,0.7000000000000001,0.0
Paraguay,1833,83.89999999999999,14.499999999999998,3.4000000000000004,1.9,0.4,0.0
